index,Search Term
8212,gdsbs2o
12108,Nb-Mo
5317,CR2S2
20378,Cl
10663,mc
17840,Zn5(OH)8(DS)2 2H2O
7685,FeNi
1017,"7,7′,8,8′-tetracyanoquinodimethane"
14312,Rockfall
17411,Y-As binary phase diagram
5724,CsV3
13827,Pt2Si Crystal Structure
11467,Mo-Se
19304,Ho2Ir3Si5
18077,ZrFeGe2
9080,Indenopyren
16652,tl3gdbr6
8665,hf-ni-ti ternary
311,"1,1-dimethoxy-ethane"
11989,Naina song
19704,Ni-Te
18278,пвыиеу
20404,consolidated iron
11235,Mn3GaN
10094,Li-La-O
4044,cermets
8662,Hf-Nb-V
1197,affects of pollution on plants
14040,rb3inbr6
13585,polyurethane paint
10944,mg7y
20147,WC
20611,Mg-Zn phase diagram
9583,KMgCl3
594,"2,2-dibromopropane"
6036,Cu6As4S9
21078,Co3(PO4)2
16645,Tl2S
15363,SrAs phase diagram
6979,es:Yb
7021,ethoxytrimethylsilane
16972,UNi2Al3 crystal strucure
8994,impact-resistant steel
21029,Thermal conductivity >2
5859,Cu-Li-Mg Ternary Phase Diagram Evaluation
14552,Sc2C3
16301,Ti-Fe
11101,Mn Ni Fe Cu Zr tharmistor
18199,β-alumina
4793,consolidated lanthanum phosphide
840,316L stainless steel 92.4
1349,AgSbSe2 sound velocity
5964,cu2mnal
16865,triolein
17096,Vanadium
4714,consolidated gallium oxide
4690,consolidated dysprosium manganese oxide
17249,water
5681,csMgF3
4601,consolidated calcium manganate
20030,Tetrahydrofuran
3108,butanone
6190,CuSe2
19344,K-Lu-F
13303,Perovskite
13440,Physics of Group IV Elements and III-V Compounds
20222,ZnMn phase diagram
9597,knbo3
4463,CoFE
19248,Ge-Al-O phase diagram
7552,Fe3Ga
19198,FeSP3
13011,p-tert-butylbenzoic acid
1857,AlCeMn
7199,F-Li-Ni
12719,NiI2 structure factor
6070,CuBi
1016,7-methylbicyclo[4.2.1]nonane
13053,PAULING FILE Multinaries Edition – 2012
17051,V1.13S呃
589,2-tert-Butylbenzoic acid
12837,nuclear fusion and 2022
16960,"Uncovering the mechanisms of dandelion against triple-negative breast cancer using a combined network pharmacology, molecular pharmacology and metabolomics approach"
3582,carbon dioxide
18829,consolidated bismuth
24,"""history of waste management"""
20458,CsPbI3
16552,TiO2 anatase
9478,k3ybr6
16568,TiO2rutile
21216,ScFe6Ge6
11667,MoTe2
17350,WSe2
12877,O2
289,1-Phenyl-octan-1-one
19104,ethanol density
18175,α-MnO2
7671,felicidad
9372,K2Ge4O9
6429,dielectric constant aluminum
9745,La2C3
9015,In-Sb
1163,Acoustoelasticity
6223,Cyanate Ester Monomers and Oligomers
20425,consolidated tin monosulfide
9006,In se binary phase diagram
8817,Ho-S
13828,Pt2Sn3 crystal structure
15239,sound ocean
11313,MnGe 191
6395,Diamond crystal structure
10477,LSM
17739,zinc oxide
16642,Tl2Cu2SnTe4
5602,cs3sci6
17164,Vse2
9421,k3eui6
20527,GdCo4B
4016,CePdBi2
8820,Ho-V
10786,mg si al isothermal section
17276,WC-Co
5354,Cr5Te8
901,4-ethyl4-methyl-2-heptyne
1524,Al-Cu-Si
14813,SiF3Cl
8657,Hf-C phase diagram
8972,"Identification of oil reservoirs suitable for CO2-EOR and CO2 storage (CCUS) using reserves databases, with application to Alberta, Canada"
11409,Mo Co Ti
307,"1,1-difluorocyclohexane"
15654,Système d'amplification dans le système d'optimisation de transmission
18567,aluminium
1986,AlSn phase diagram
8533,handbook of enviromental
8644,Hf
8291,GeCl4 lt
2943,Bioresorbable Zn Mg alloy
14965,Sm2Co17
18251,θ-Al2O3
17375,Wustite melting point
1080,A Study on Modeling and Optimization of Memory Systems
16842,trichlorosilane isotherm
4531,consolidated aluminum iron (1:1) intermetallic compound
201,1
